Market,Product,Country,Date,Retail (MT),Wholesale (MT),Currency
Bujumbura,Maize,Burundi,2/18/2013,1007802,957412,BIF
Bujumbura,Maize,Burundi,2/19/2013,1009753,959265,BIF
Bujumbura,Maize,Burundi,2/20/2013,1009753,959265,BIF
Bujumbura,Maize,Burundi,2/21/2013,1004551,954323,BIF
Bujumbura,Maize,Burundi,2/22/2013,1014954,964206,BIF
Bujumbura,Maize,Burundi,2/25/2013,1007802,957412,BIF
Bujumbura,Maize,Burundi,2/26/2013,1001950,951853,BIF
Bujumbura,Maize,Burundi,2/27/2013,1008452,958029,BIF
Bujumbura,Maize,Burundi,2/28/2013,998700,948764,BIF
Bujumbura,Maize,Burundi,3/1/2013,993498,943823,BIF
Bujumbura,Maize,Burundi,3/4/2013,979194,930234,BIF
Bujumbura,Maize,Burundi,3/5/2013,979844,930851,BIF
Bujumbura,Maize,Burundi,3/6/2013,972692,924057,BIF
Bujumbura,Maize,Burundi,3/7/2013,972042,923439,BIF
Bujumbura,Maize,Burundi,3/8/2013,972042,923439,BIF
Bujumbura,Maize,Burundi,3/11/2013,1014304,963589,BIF
Bujumbura,Maize,Burundi,3/12/2013,973992,925292,BIF
Bujumbura,Maize,Burundi,3/13/2013,987646,938264,BIF
Bujumbura,Maize,Burundi,3/18/2013,967455,916535,BIF
Bujumbura,Maize,Burundi,3/19/2013,967455,916535,BIF
Bujumbura,Maize,Burundi,3/20/2013,966831,915945,BIF
Bujumbura,Maize,Burundi,3/21/2013,971818,920669,BIF
Bujumbura,Maize,Burundi,3/22/2013,966831,915945,BIF
Bujumbura,Maize,Burundi,3/25/2013,1034371,982653,BIF
Bujumbura,Maize,Burundi,3/26/2013,982885,931155,BIF
Bujumbura,Maize,Burundi,3/27/2013,1034468,982745,BIF
Bujumbura,Maize,Burundi,3/28/2013,1034235,982524,BIF
Bujumbura,Maize,Burundi,3/29/2013,990025,940524,BIF
Bujumbura,Maize,Burundi,4/1/2013,990025,940524,BIF
Bujumbura,Maize,Burundi,4/2/2013,1026911,975566,BIF
Bujumbura,Maize,Burundi,4/3/2013,982983,931248,BIF
Bujumbura,Maize,Burundi,4/4/2013,931190,879458,BIF
Bujumbura,Maize,Burundi,4/5/2013,919242,868174,BIF
Bujumbura,Maize,Burundi,4/8/2013,879403,827672,BIF
Bujumbura,Maize,Burundi,4/9/2013,792020,841523,BIF
Bujumbura,Maize,Burundi,4/10/2013,879447,827713,BIF
Bujumbura,Maize,Burundi,4/11/2013,819997,768748,BIF
Bujumbura,Maize,Burundi,4/12/2013,820399,769125,BIF
Bujumbura,Maize,Burundi,4/15/2013,827724,775991,BIF
Bujumbura,Maize,Burundi,4/16/2013,827791,776054,BIF
Bujumbura,Maize,Burundi,4/17/2013,819899,768656,BIF
Bujumbura,Maize,Burundi,4/18/2013,819956,768709,BIF
Bujumbura,Maize,Burundi,4/19/2013,827770,776035,BIF
Bujumbura,Maize,Burundi,4/23/2013,760068,709397,BIF
Bujumbura,Maize,Burundi,4/24/2013,760193,709514,BIF
Bujumbura,Maize,Burundi,4/25/2013,768854,717597,BIF
Bujumbura,Maize,Burundi,4/26/2013,768767,717516,BIF
Bujumbura,Maize,Burundi,4/29/2013,820033,768781,BIF
Bujumbura,Maize,Burundi,4/30/2013,827822,776083,BIF
Bujumbura,Maize,Burundi,5/1/2013,792020,742519,BIF
Bujumbura,Maize,Burundi,5/2/2013,826548,774889,BIF
Bujumbura,Maize,Burundi,5/3/2013,827564,775841,BIF
Bujumbura,Maize,Burundi,5/6/2013,816711,765667,BIF
Bujumbura,Maize,Burundi,5/7/2013,827182,775484,BIF
Bujumbura,Maize,Burundi,5/8/2013,819249,768046,BIF
Bujumbura,Maize,Burundi,5/10/2013,819259,768056,BIF
Bujumbura,Maize,Burundi,5/13/2013,767592,716420,BIF
Bujumbura,Maize,Burundi,5/15/2013,716817,665614,BIF
Bujumbura,Maize,Burundi,5/16/2013,716875,665669,BIF
Bujumbura,Maize,Burundi,5/17/2013,717286,666050,BIF
Bujumbura,Maize,Burundi,5/21/2013,900083,835792,BIF
Bujumbura,Maize,Burundi,5/22/2013,903583,839042,BIF
Bujumbura,Maize,Burundi,5/23/2013,904749,840126,BIF
Bujumbura,Maize,Burundi,5/24/2013,909416,844459,BIF
Bujumbura,Maize,Burundi,5/27/2013,907083,842292,BIF
Bujumbura,Maize,Burundi,5/28/2013,907083,842292,BIF
Bujumbura,Maize,Burundi,5/29/2013,969375,904749,BIF
Bujumbura,Maize,Burundi,5/30/2013,961875,897749,BIF
Bujumbura,Maize,Burundi,5/31/2013,958125,894249,BIF
Bujumbura,Maize,Burundi,6/4/2013,894833,830917,BIF
Bujumbura,Maize,Burundi,6/5/2013,892499,828751,BIF
Bujumbura,Maize,Burundi,6/6/2013,895416,831459,BIF
Bujumbura,Maize,Burundi,6/7/2013,893666,829834,BIF
Bujumbura,Maize,Burundi,6/10/2013,834167,770000,BIF
Bujumbura,Maize,Burundi,6/12/2013,828209,764500,BIF
