market,product,source,start,end,timeliness,data_length,completeness,duplicates,mode_D
Iringa,Rice,EAGC-RATIN,2017-02-16,2019-10-17,223.0,1174.0,0.352,200.0,1
Iringa,Wheat,EAGC-RATIN,2018-06-28,2019-10-17,223.0,510.0,0.335,75.0,1
Iringa,Maize,EAGC-RATIN,2018-12-13,2019-10-17,223.0,332.0,0.461,77.0,1
Iringa,Sorghum,EAGC-RATIN,2019-08-05,2019-10-17,223.0,78.0,0.256,4.0,4
Iringa,Millet,EAGC-RATIN,2019-08-05,2019-10-17,223.0,78.0,0.308,5.0,3
Gulu,Beans,EAGC-RATIN,2018-05-11,2019-10-17,223.0,1012.0,0.618,487.0,1
Gulu,Peas,EAGC-RATIN,2017-12-14,2019-10-17,223.0,832.0,0.385,159.0,1
Gulu,Rice,EAGC-RATIN,2017-03-09,2019-10-17,223.0,1023.0,0.2,70.0,1
Gulu,Maize,EAGC-RATIN,2017-03-01,2019-10-17,223.0,991.0,0.156,46.0,1
Gulu,Sorghum,EAGC-RATIN,2018-11-19,2019-10-17,223.0,357.0,0.339,40.0,1
Gulu,Millet,EAGC-RATIN,2018-09-10,2019-10-17,223.0,432.0,0.333,49.0,1
Mbale,Beans,EAGC-RATIN,2018-06-05,2019-05-30,363.0,670.0,0.651,310.0,1
Mbale,Peas,EAGC-RATIN,2018-01-02,2019-05-30,363.0,533.0,0.191,35.0,1
Mbale,Rice,EAGC-RATIN,2017-09-04,2019-05-30,363.0,649.0,0.146,42.0,1
Mbale,Maize,EAGC-RATIN,2017-03-07,2019-05-30,363.0,1055.0,0.368,240.0,1
